1926,0.70124531,0.19714526,0.04036375,0.4637363,0.72749791,0.72586446,0.7257989,0.52213573,0.16403893,0.039624234,6.56E-05,0.00163345,0.000026603,3.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162955,0,0,0,0,0,0,0,0,0.0000039,0,-0.11533456,-0.020870665,0.081165781,-0.11027978,-0.011031662,-0.029646234,-0.024672,-0.28933279,0,0.12581152,0.027922269,-0.049344001,0.036515951
1927,0.72125112,0.19508901,0.0554925,0.47066961,0.73876339,0.73705034,0.73697396,0.52957874,0.1670154,0.040379821,7.64E-05,0.00171305,3.54E-05,4.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170885,0,0,0,0,0,0,0,0,0.0000042,0,-0.11660302,-0.021043225,0.081708276,-0.11225665,-0.011292944,-0.028101106,-0.025617374,-0.29314981,0,0.12723558,0.02843051,-0.051234748,0.037227702
1928,0.67462867,0.14573901,0.051016875,0.47787279,0.7507157,0.74892304,0.74883527,0.53788518,0.16998281,0.04096729,8.78E-05,0.001792655,4.46E-05,4.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178815,0,0,0,0,0,0,0,0,0.000004505,0,-0.11856454,-0.021114879,0.081410963,-0.11417913,-0.011551331,-0.026606232,-0.026523938,-0.29651189,0,0.12865384,0.028937257,-0.053047876,0.037690296
1929,0.62401289,0.096046302,0.0412825,0.48668409,0.76252431,0.76065205,0.7605523,0.54617941,0.17281833,0.04155455,0.000099759,0.00187226,5.43E-05,4.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186745,0,0,0,0,0,0,0,0,0.00000481,0,-0.1215376,-0.021103933,0.080733764,-0.11602504,-0.01180333,-0.026778498,-0.026560566,-0.29820027,0,0.13002585,0.02942153,-0.053121132,0.037571391
1930,0.65251894,0.12174943,0.032589375,0.49818014,0.77375425,0.77180174,0.77168936,0.55402496,0.17552275,0.042141653,0.000112378,0.001952515,6.45E-05,4.78E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019474,0,0,0,0,0,0,0,0,0.000005115,0,-0.12319811,-0.02027392,0.080324928,-0.11777832,-0.012047609,-0.026810265,-0.026612923,-0.29791535,0,0.13135213,0.029883456,-0.053225846,0.03752961
1931,0.6785285,0.14642443,0.016454375,0.51564969,0.78532252,0.78328975,0.78315805,0.56229357,0.17821976,0.042644727,0.000131699,0.00203277,7.53E-05,5.04E-05,0,6.04E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202735,0,0,0,0,0,0,0,0,0.00000542,0,-0.12149143,-0.017824839,0.080767654,-0.11941805,-0.012282735,-0.025601382,-0.027132073,-0.29481292,0,0.13267369,0.030344158,-0.054264145,0.037877822
1932,0.64515032,0.11489526,-0.00354375,0.53379881,0.79695636,0.79484321,0.79469097,0.5705501,0.18090941,0.043231463,0.000152245,0.002113151,8.66E-05,5.30E-05,0,0.000012602,0,0,0,0,0,0,0,0,0,7.76E-07,0,0,0,0.00210665,0,0,0,0,0,0,0,0,0.000005725,0,-0.11922538,-0.015508914,0.081711032,-0.12092677,-0.012505496,-0.024438606,-0.027556623,-0.2918526,0,0.13392317,0.030803646,-0.055113247,0.038306852
1933,0.65684612,0.12380568,-0.013908125,0.54694856,0.80778462,0.80558836,0.8054203,0.57792673,0.18359176,0.043901811,0.000168059,0.002196256,0.000098571,5.58E-05,0,1.37E-05,0,0,0,0,0,0,0,0,0,2.32E-06,0,0,0,0.0021879,0,0,0,0,0,0,0,0,0.000006035,0,-0.11907929,-0.014796086,0.082603643,-0.12232286,-0.012716986,-0.024386515,-0.027460487,-0.29160694,0,0.13510062,0.031261928,-0.054920974,0.0384086
1934,0.71706368,0.16218901,0.000065625,0.55480904,0.81806099,0.81576215,0.8155774,0.5848599,0.18614559,0.04457192,0.000184743,0.002298845,0.000111127,5.87E-05,0,1.49E-05,0,0,0,0,0,0,0,0,0,3.85E-06,0,0,0,0.00228865,0,0,0,0,0,0,0,0,0.000006345,0,-0.1209596,-0.01551971,0.083062992,-0.12364627,-0.012922144,-0.024826764,-0.027107704,-0.29428458,0,0.13623403,0.03169829,-0.054215408,0.038275315
1935,0.77329698,0.16938589,0.0409325,0.56297859,0.82822019,0.8257998,0.82559745,0.59178409,0.18857157,0.04524179,0.000202346,0.002420395,0.000124345,6.18E-05,0,1.62E-05,0,0,0,0,0,0,0,0,0,6.14E-06,0,6.44E-07,0,0.00240695,0,0,0,0,0,0,0,0,0.00000666,0,-0.12268848,-0.016183304,0.083596018,-0.12493734,-0.013125995,-0.025292373,-0.026745488,-0.29673478,0,0.13732382,0.032112842,-0.053490976,0.038235986
1936,0.83155121,0.18069526,0.081598125,0.56925783,0.83750402,0.83495991,0.83473899,0.59783591,0.19099166,0.045911423,0.000220919,0.002544114,0.000138258,6.51E-05,0,1.76E-05,0,0,0,0,0,0,0,0,0,0.00000996,0,0.000001929,0,0.00252525,0,0,0,0,0,0,0,0,0.000006975,0,-0.12391449,-0.016966759,0.084362642,-0.12623683,-0.013333657,-0.024909656,-0.026830231,-0.30014365,0,0.1384099,0.032526421,-0.053660463,0.038536088
1937,0.84505011,0.17932443,0.09006375,0.57566193,0.84496815,0.84229803,0.84205751,0.60215445,0.19340589,0.04649717,0.000240519,0.002670121,0.000152903,6.85E-05,0,1.91E-05,0,0,0,0,0,0,0,0,0,1.61E-05,0,3.21E-06,0,0.00264355,0,0,0,0,0,0,0,0,0.00000729,0,-0.12434526,-0.017938035,0.086651722,-0.12758584,-0.013550332,-0.025458737,-0.026464042,-0.30350316,0,0.13949232,0.032939033,-0.052928085,0.039038935
1938,0.833606,0.16321714,0.0808325,0.58955637,0.85105148,0.84824983,0.84798863,0.60517523,0.19581431,0.046999082,0.000261202,0.002801653,0.000168319,7.21E-05,0,2.08E-05,0,0,0,0,0,0,0,0,0,2.60E-05,0,5.13E-06,0,0.00276185,0,0.000001069,0,0,0,0,0,0,0.00000761,0,-0.11957922,-0.01777504,0.093286498,-0.1290258,-0.013781309,-0.026307983,-0.025975587,-0.30456793,0,0.1405711,0.033350685,-0.051951175,0.040681427
1939,0.83751216,0.16390255,0.073845625,0.59976398,0.85627489,0.85333275,0.85304972,0.60733189,0.19821696,0.047500862,0.000283032,0.002942144,0.000184546,7.59E-05,0,2.26E-05,0,0,0,0,0,0,0,0,8.81E-07,0.000041264,0,0.000007688,0,0.00288015,0,0.000004231,0,0,0,0,0,0,0.00000793,0,-0.11641002,-0.017357767,0.097869714,-0.13059845,-0.014031957,-0.026357954,-0.025933602,-0.30560317,0,0.14164627,0.033761382,-0.051867204,0.041961832
1940,0.84838382,0.18377964,0.064194375,0.60040981,0.86076046,0.85766748,0.85736141,0.60862547,0.20073343,0.048002507,0.000306072,0.003092978,0.000201627,0.00007989,0,2.46E-05,0,0,0,0,0,0,0,0,2.62E-06,0.000063376,0,0.000010881,0,0.00299845,0,0.000009399,0,0,0,0,0,0,0.00000825,0,-0.11984021,-0.017965965,0.097388574,-0.1323436,-0.014344988,-0.027044113,-0.025530119,-0.30806833,0,0.14275626,0.034191572,-0.051060237,0.041670289
1941,0.84065291,0.19303276,0.050019375,0.59760078,0.86416773,0.86090661,0.86057622,0.60862547,0.20336316,0.048587579,0.000330392,0.003261124,0.000219608,8.41E-05,0,0.00002669,0,0,0,0,0,0,0,0,0.000004325,0.000093792,0,1.53E-05,0,0.0031226,0,0.000016487,0,0,0,0,0,0,0.00000857,0,-0.12276253,-0.01860066,0.0967339,-0.13433604,-0.014765358,-0.026306441,-0.025487941,-0.31246029,0,0.14390074,0.03464116,-0.050975881,0.041089846
1942,0.79637885,0.17144214,0.030625,0.59431171,0.86626107,0.86281113,0.86245506,0.60733189,0.20586714,0.049256026,0.000356066,0.003449944,0.000238534,8.85E-05,0,2.90E-05,0,0,0,0,0,0,0,0,5.99E-06,0.000134,0,2.11E-05,0,0.00325455,0,0.00002542,0,0,0,0,0,0,0.00000889,0,-0.12411134,-0.018521542,0.096430523,-0.13666929,-0.015265104,-0.0237347,-0.026351229,-0.31700903,0,0.14572873,0.035069284,-0.052702458,0.041075461
1943,0.77291049,0.16630151,0.013610625,0.59299835,0.86781535,0.86415988,0.86377693,0.60560671,0.20824599,0.049924236,0.000382943,0.00365547,0.000258457,9.30E-05,0,3.15E-05,0,0,0,0,0,0,0,0,7.62E-06,0.000184672,0,2.87E-05,0,0.0033891,0,0.00003612,0,0,0,0,0,0,0.000009215,0,-0.12587675,-0.018391913,0.097005312,-0.13937142,-0.015810304,-0.022385018,-0.026923406,-0.32037341,0,0.14824062,0.035476048,-0.053846813,0.041563298
1944,0.8014979,0.18926297,0.021004375,0.59123056,0.87001459,0.86613672,0.86572583,0.6043125,0.21073766,0.050675674,0.000410891,0.003877868,0.000279429,9.72E-05,0,3.43E-05,0,0,0,0,0,0,0,0,1.01E-05,0.00024648,0,0.000039587,0,0.00352365,0,0.00004851,0,0,0,0,0,0,0.000009545,0,-0.12928125,-0.018303398,0.096931561,-0.14242318,-0.016398771,-0.021960996,-0.027126472,-0.32349796,0,0.15078675,0.035902137,-0.054252944,0.041559239
1945,0.84012487,0.19988693,0.049966875,0.59027107,0.87329676,0.86917291,0.86873289,0.60388103,0.21334159,0.051510273,0.000440012,0.004123858,0.000301504,0.000101252,0,3.73E-05,0,0,0,0,0,0,0,0,1.34E-05,0.000326256,0,5.43E-05,0,0.00365755,0,0.00006252,0,0,0,0,0,0,0.00000987,0,-0.13513816,-0.016594393,0.093197532,-0.14580511,-0.017027996,-0.021442244,-0.027465944,-0.32306653,0,0.15336678,0.03634746,-0.054931888,0.040396637
1946,0.87434778,0.2070838,0.080705625,0.58655836,0.8776065,0.87318405,0.87271364,0.6043125,0.21605664,0.052344504,0.000470409,0.004422453,0.000324741,0.000105173,0,4.05E-05,0,0,0,0,0,0,0,0,1.75E-05,0.00043248,9.03E-06,0.0000837,0,0.00379145,0,0.00007809,0,0,0,0,0,0,0.000010195,0,-0.13944985,-0.015284822,0.090335766,-0.14949756,-0.017695197,-0.017859267,-0.029448774,-0.32610154,0,0.15598002,0.036811826,-0.058897549,0.040608946
1947,0.88946972,0.1988588,0.11165437,0.57895654,0.88312215,0.87828688,0.87778469,0.60560671,0.21899962,0.053178367,0.000502189,0.004835267,0.000349201,0.000108971,0,4.40E-05,0,0,0,0,0,0,0,0,0.00002504,0.00059824,3.83E-05,0.000139423,0,0.0039286,0,0.00009515,0,0,0,0,0,0,0.00001053,0,-0.1436876,-0.016148084,0.089836309,-0.15348065,-0.018397354,-0.013700822,-0.031797004,-0.3348313,0,0.15866318,0.037315223,-0.063594008,0.041968895
1948,0.89886532,0.19680255,0.12945625,0.57260652,0.88977366,0.8843619,0.88382644,0.60776302,0.22205156,0.054011863,0.000535464,0.005411754,0.000374948,0.000112671,0,4.78E-05,0,0,0,0,0,0,0,0,0.000041225,0.00086544,0.00008301,0.000211684,0,0.0040859,0,0.00011363,0,0,0,0,0,0,0.000010865,0,-0.15143853,-0.017057904,0.08772193,-0.15773435,-0.019131245,-0.012581819,-0.032655148,-0.34153034,0,0.16137825,0.037837306,-0.065310295,0.041896478
1949,0.87852081,0.18926297,0.11637937,0.57287846,0.89752266,0.89140688,0.89083653,0.6107804,0.22521114,0.054844993,0.000570351,0.006115782,0.000402051,0.000116296,0,5.20E-05,0,0,0,0,0,0,0,0,0.000072025,0.00121456,0.000136245,0.000288827,0,0.00425945,0,0.00013348,0,0,0,0,0,0,0.000011195,0,-0.15690128,-0.01692543,0.08752663,-0.16223844,-0.019893473,-0.012162501,-0.033208068,-0.34592498,0,0.16412444,0.038377858,-0.066416136,0.042095901
1950,0.84163896,0.18686401,0.0807275,0.57404745,0.90684095,0.89988331,0.89927634,0.61508782,0.22859401,0.055594512,0.000606975,0.006957635,0.00043058,0.000119868,0,5.65E-05,0,0,0,0,0,0,0,0,0.00012415,0.00160144,0.00019563,0.000370295,0,0.00449995,0,0.00015464,0,0,0,0,0,0,0.00001153,0,-0.1612557,-0.017815345,0.089536842,-0.16700066,-0.020725619,-0.011569271,-0.033681651,-0.35283047,0,0.16693776,0.038956671,-0.067363301,0.04276154
1951,0.80135099,0.1906338,0.049030625,0.56168656,0.9180815,0.91021893,0.90957087,0.62111239,0.23219799,0.056260489,0.000648064,0.00786257,0.00046061,0.000123411,0,6.14E-05,0,0,0,0,0,0,0,0.0000026,0.0002033,0.00202048,0.000263145,0.000455855,0,0.00473005,0,0.00017787,0,0,0,0,0,0,0.00001187,0,-0.1590474,-0.019449705,0.090599408,-0.17158983,-0.021692869,0.003003763,-0.03991816,-0.37224317,0,0.16981692,0.039573384,-0.07983632,0.045341641
1952,0.76630996,0.18446505,0.031810625,0.55003428,0.93054444,0.92182923,0.92113547,0.62798987,0.23613618,0.057009416,0.000693755,0.00871521,0.000492221,0.000126948,0,6.68E-05,0,0,0,0,0,0,0,0.0000078,0.000291875,0.00249968,0.00030735,0.000537695,0,0.0048789,0,0.0001875,0,0,0,0,0,0,0.00001221,0,-0.15581274,-0.019791654,0.089804862,-0.17629503,-0.022792613,0.020697425,-0.047435734,-0.39115762,0,0.17320768,0.040247369,-0.094871469,0.047876642
1953,0.74610376,0.17555464,0.02046625,0.55008287,0.94386752,0.93427531,0.93353371,0.63528723,0.24040525,0.05784123,0.000741592,0.00959221,0.000525496,0.000130503,0,0.000072593,0,0,0,0,0,0,0,0.000013,0.00039425,0.00302768,0.00032325,0.000615195,0,0.0050349,0,0.0001844,0,0,0,0,0,0,0.000012535,0,-0.16243106,-0.01956136,0.086975643,-0.1817963,-0.023995019,0.025134813,-0.049188836,-0.39861207,0,0.17710804,0.040978072,-0.098377672,0.047550053
1954,0.75480507,0.18069526,0.022115625,0.55199419,0.95859195,0.94801247,0.94722074,0.64385931,0.24477186,0.058589566,0.000791727,0.010579485,0.000560522,0.000134099,0,7.89E-05,0,0,0,0,0,0,0,0.0000182,0.00053725,0.0035968,0.0003417,0.00069409,0,0.0052104,0,0.0001864,0,0,0,0,0,0,0.000012845,0,-0.16998176,-0.01933715,0.08489106,-0.18797994,-0.025288804,0.028357241,-0.050624165,-0.405595,0,0.18103354,0.041725571,-0.10124833,0.047468214
1955,0.81537626,0.2029713,0.057264375,0.55514058,0.97483248,0.96311687,0.96227255,0.65370065,0.24923433,0.059337575,0.000844317,0.011715605,0.000597392,0.000137759,0,8.58E-05,0,0,0,0,0,0,0,0.0000234,0.0007215,0.0042368,0.000363,0.00077345,0,0.0054041,0.0000015,0.0001941,0,0,0,0,0,0,0.000013155,0.000008,-0.17495569,-0.019899196,0.086395,-0.19473656,-0.026661621,0.032927579,-0.052980893,-0.41536117,0,0.18498322,0.042489584,-0.10596179,0.049113946
1956,0.89909856,0.2153088,0.12487125,0.55891851,0.99194793,0.97892429,0.97802475,0.66395102,0.25390536,0.060168369,0.000899532,0.013023645,0.000636202,0.000141506,0,9.32E-05,0,0,0,0,0,0,0,0.0000286,0.00094875,0.0049552,0.00038775,0.0008525,0,0.005616,0.00000708,0.0002114,0,0,0,0,0,0,0.000013465,0.0000315,-0.17987025,-0.020864398,0.089063932,-0.20196019,-0.028100197,0.037382689,-0.05539208,-0.42595517,0,0.18899137,0.043289417,-0.11078416,0.051299375
1957,0.96679968,0.22559005,0.17792687,0.56328276,1.0097964,0.99526277,0.99430523,0.67460724,0.25878219,0.06091579,0.000957549,0.0145336,0.000677055,0.000145363,0,0.000101331,0,0,0,0,0,0,0,0.0000338,0.00123025,0.0057776,0.00041685,0.000930465,0,0.0058448,0.00001785,0.000238,0,0,0,0,0,0,0.000013785,0.000064,-0.18697933,-0.021362327,0.090120588,-0.20954762,-0.029590441,0.040692044,-0.057291575,-0.43487697,0,0.1930564,0.044124612,-0.11458315,0.052744818
1958,0.98244834,0.23073068,0.17952812,0.57218953,1.0278808,1.0116318,1.0106132,0.68520067,0.26374965,0.061662883,0.001018555,0.01624904,0.000720058,0.000149355,0,0.000110143,0,0,0,0,0,0,0,0.000039,0.001559125,0.0067232,0.0004506,0.001007345,0,0.0060905,0.00003405,0.0002711,0,0,0,0,0,0,0.00001412,0.000099,-0.192885,-0.021509473,0.093098857,-0.21739787,-0.031117541,0.042495577,-0.058454543,-0.44240634,0,0.19714264,0.044975453,-0.11690909,0.054391065
1959,0.96883259,0.22696089,0.15146687,0.59040482,1.0468298,1.028745,1.0276622,0.69628068,0.26880593,0.0625756,0.001082747,0.018084795,0.000765324,0.000153503,0,0.00011972,0,0,0,0,0,0,0,0.0000442,0.00188925,0.0077488,0.00048915,0.001083605,0,0.00635245,0.00005298,0.0003186,0,0,0,0,0,0,0.00001446,0.0001355,-0.19820269,-0.02180197,0.099698572,-0.22541183,-0.032666048,0.038793365,-0.056814776,-0.44731785,0,0.20124911,0.045841641,-0.11362955,0.055634413
1960,0.88020351,0.15190776,0.11563562,0.61266012,1.0681778,1.0481515,1.0470011,0.7093687,0.27406162,0.063570813,0.001150334,0.020026345,0.000812972,0.000157831,0,0.000130131,0,0,0,0,0,0,0,0.0000494,0.002204625,0.008856,0.0005337,0.001159245,0,0.0066287,0.00007497,0.0003813,0,0,0,0,0,0,0.000014805,0.000173,-0.20427103,-0.022340829,0.10705526,-0.23348313,-0.034154894,0.032863956,-0.054211397,-0.4515705,0,0.20540885,0.046742127,-0.10842279,0.056595658
1961,0.75156663,0.060747344,0.072270625,0.61854867,1.0903816,1.0681538,1.0669297,0.72293323,0.27951378,0.064482654,0.001224138,0.022227785,0.000863129,0.000162363,0,0.000141446,0,0,0,0,0,0,0,0.0000572,0.002573875,0.0101392,0.00058515,0.001231165,0,0.0069199,0.00010233,0.00045,0,0,0,0,0,0,0.000015165,0.000211,-0.21074969,-0.022316997,0.10603959,-0.24001312,-0.035522413,0.037965036,-0.056901784,-0.46160698,0,0.20962024,0.047676426,-0.11380357,0.057030639
1962,0.64515114,-0.013963073,0.039375,0.61973921,1.1116244,1.0868495,1.0855451,0.73507442,0.28515948,0.065311204,0.001304393,0.02477491,0.000915925,0.000167122,0,0.000153746,0,0,0,0,0,0,0,0.0000676,0.00305875,0.0116208,0.00064395,0.001301225,0,0.00722605,0.0001314,0.0005292,0,0,0,0,0,0,0.000015535,0.000248,-0.21892418,-0.022119295,0.10135341,-0.24545169,-0.036862943,0.044578731,-0.060422398,-0.47184075,0,0.21447783,0.048644048,-0.1208448,0.056602663
1963,0.1620533,-0.49546828,0.02737,0.63015159,1.1315062,1.1037958,1.1024045,0.74521338,0.29088615,0.066304945,0.001391346,0.027710425,0.0009715,0.000172131,0,0.000167115,0,0,0,0,0,0,0,0.0000806,0.00367875,0.0133072,0.00071115,0.00137423,0,0.00754325,0.00016743,0.0006285,0,0,0,0,0,0,0.000015915,0.000284,-0.22677067,-0.022335479,0.10190965,-0.25165996,-0.038255898,0.044958854,-0.061387833,-0.47855849,0,0.21994754,0.049625711,-0.12277567,0.057176919
1964,-0.18567194,-0.85325578,0.02680125,0.6407826,1.1509445,1.1198147,1.118312,0.75407365,0.29669196,0.067546421,0.00150266,0.031129845,0.00105,0.000177412,0,0.000181647,0,0,0,0,0,0,0,0.0000936,0.00444875,0.0152752,0.00078855,0.00144987,0,0.00786825,0.00021102,0.0007534,0,0,0,0,0,0,0.000016305,0.0003185,-0.23353841,-0.022809909,0.10437969,-0.25838727,-0.039694478,0.045517538,-0.062543987,-0.48608016,0,0.22543219,0.050621107,-0.12508797,0.058491302
1965,0.16267508,-0.53248078,0.03808875,0.65706711,1.1744517,1.1393654,1.137736,0.76618156,0.30268459,0.0688698,0.001629433,0.03508635,0.001145,0.000182991,0,0.000197443,0,0,0,0,0,0,0,0.000104,0.00537375,0.0175776,0.00087765,0.001528145,0.00000081,0.00820105,0.00025659,0.0009034,0,0,0.00000015,0,0,0,0.000016705,0.0003505,-0.23909148,-0.02336911,0.10864047,-0.26540056,-0.041171873,0.045875463,-0.063665869,-0.49386494,0,0.23096325,0.051648711,-0.12733174,0.060291571
1966,0.59334428,-0.15001828,0.06435625,0.67900631,1.2031685,1.1635966,1.1618437,0.7828982,0.30875326,0.070192262,0.0017529,0.03957192,0.001235,0.000188889,0,0.000214611,0,0,0,0,0,0,0,0.0001144,0.00644375,0.0202096,0.00097995,0.001609365,0.00000315,0.00853125,0.00031452,0.0010826,0,0,0.00000045,0,0,0.000000165,0.00001712,0.00038,-0.244194,-0.023846364,0.11325208,-0.27248124,-0.042681265,0.046587454,-0.06502466,-0.501547,0,0.23650766,0.052689531,-0.13004932,0.06243089
1967,0.76875547,-0.021502656,0.09177875,0.69847938,1.2317334,1.1871485,1.1852703,0.79886038,0.31489612,0.071513808,0.001878203,0.044584935,0.001325,0.00019513,0,0.000233273,0,0,0,0,0,0,0,0.0001248,0.00764375,0.0231648,0.00109755,0.001693685,0.00000693,0.0088491,0.00040332,0.0012997,0,0,0.0000009,0,0.00000016,0.000000495,0.000017545,0.000407,-0.25239728,-0.02419055,0.11498321,-0.27942264,-0.044215828,0.046421251,-0.065972724,-0.50819842,0,0.24206447,0.05374326,-0.13194545,0.063479343
1968,0.60919867,-0.22027349,0.10839937,0.72107279,1.2623207,1.2121168,1.2101061,0.81597004,0.32121912,0.072916921,0.002010695,0.05020391,0.001415,0.000201737,0,0.000253558,0,0,0,0,0,0,0,0.0001404,0.00898875,0.0264864,0.00123255,0.001781105,0.00001215,0.00915525,0.00053316,0.0015621,0,0,0.00000165,0,0.00000032,0.00000099,0.000017985,0.0004315,-0.26083496,-0.024653739,0.11679973,-0.28602801,-0.045768731,0.045211691,-0.066395898,-0.51433744,0,0.24766418,0.05482808,-0.1327918,0.064224045
1969,0.57531732,-0.29635474,0.1176525,0.75401956,1.2978167,1.2413032,1.2391578,0.83695475,0.32771921,0.074483888,0.00214534,0.056513515,0.001505,0.000208734,0,0.000275606,0,0,0,0,0,0,0,0.000156,0.0105125,0.0302192,0.00138735,0.001871935,0.00001881,0.0094497,0.0006954,0.0018822,0,0,0.00000285,0,0.00000048,0.00000165,0.00001844,0.000453,-0.26443433,-0.025476503,0.1231353,-0.29210889,-0.047333139,0.044333257,-0.066984348,-0.52114886,0,0.25330516,0.055943484,-0.1339687,0.066506103
1970,0.84740204,-0.055430781,0.10840375,0.79442908,1.3310768,1.2675191,1.2652394,0.85481939,0.33428801,0.076131978,0.002279715,0.063557715,0.001595,0.000216143,0,0.000299572,0,0,0,0,0,0,0,0.000169,0.0122625,0.034384,0.00156495,0.001966485,0.000027,0.0097331,0.0008787,0.002242,0,0,0.0000048,0,0.0000008,0.000002475,0.000018905,0.000472,-0.2619395,-0.026562219,0.13593638,-0.29744012,-0.048950414,0.041856888,-0.066780012,-0.52760458,0,0.25895579,0.057070883,-0.13356002,0.0704297
1971,1.0370201,0.11420984,0.087416875,0.83539343,1.3614656,1.2901423,1.2877261,0.86912845,0.340819,0.077778651,0.002416171,0.07132333,0.00168,0.000223988,0,0.000325622,0,0,3.36E-07,0,0.000001625,0,0,0.0001846,0.01426625,0.038976,0.00176865,0.0020646,0.0000369,0.0100061,0.0010617,0.002623,0,0,0.0000075,0,0.00000112,0.00000363,0.00001938,0.0004885,-0.26283081,-0.027509619,0.14984324,-0.30406198,-0.050702525,0.033300018,-0.063699936,-0.53173589,0,0.26458547,0.058191994,-0.12739987,0.073116936
1972,1.0974394,0.15327859,0.072148125,0.87201267,1.3994063,1.3196643,1.3171044,0.89018132,0.34741694,0.0795061,0.002559912,0.079742075,0.001765,0.000232293,0,0.000353937,0,0,1.01E-06,0,0.000004875,0,0,0.0002028,0.01649125,0.043936,0.0020022,0.00216628,0.00004869,0.0102687,0.0012552,0.003029,0,0.0000036,0.00001125,0,0.00000192,0.000005115,0.00001987,0.000503,-0.27495228,-0.028126902,0.15494896,-0.31230946,-0.052583936,0.023326734,-0.060207678,-0.53476265,0,0.27045665,0.059324805,-0.12041536,0.072955152
1973,1.0624488,0.10632755,0.05096,0.90516124,1.442409,1.3534725,1.3507609,0.91528331,0.35408128,0.081396286,0.002711597,0.088936485,0.001855,0.000241079,0,0.000384714,0,0,0.000001679,0,0.000008125,0,0,0.000221,0.01895875,0.049296,0.00227055,0.00227199,0.00006264,0.0105209,0.0015039,0.003478,0,0.0000106,0.0000165,0,0.00000368,0.000007095,0.00002038,0.0005155,-0.28770065,-0.028919222,0.15659282,-0.32033857,-0.054538185,0.019464074,-0.05996156,-0.54035107,0,0.27656916,0.060469218,-0.11992312,0.073688749
1974,0.91537051,-0.040694323,0.0251475,0.93091733,1.478712,1.3795476,1.3766812,0.93260715,0.36070732,0.083366714,0.002866465,0.09916434,0.001945,0.000250372,0,0.000418168,0,0,2.35E-06,0,0.000011375,0,0,0.0002392,0.02176,0.055184,0.0025785,0.00238204,0.00007893,0.010764,0.0018264,0.003987,0,0.0000172,0.0000234,0,0.00000656,0.000009405,0.000020905,0.000526,-0.29904331,-0.029269727,0.15802534,-0.32813763,-0.056537541,0.017523648,-0.060647392,-0.54642366,0,0.28266079,0.061607261,-0.12129478,0.074699044
1975,0.82176973,-0.14110786,0.0099925,0.95288509,1.5123086,1.4019162,1.3988939,0.94626302,0.36729571,0.085335125,0.00302237,0.11039234,0.00203,0.000260193,0,0.00045453,0,0,3.02E-06,0,0.000014625,0,0,0.00026,0.02489,0.061632,0.00293145,0.00249612,0.00009801,0.010998,0.0022038,0.004508,0,0.0000235,0.00003225,0,0.00001072,0.000012045,0.000021445,0.000535,-0.31246243,-0.028848314,0.15669374,-0.33569508,-0.05855381,0.014823265,-0.060882226,-0.55108384,0,0.28873199,0.062739037,-0.12176445,0.074416231
1976,0.97769425,-0.017390156,0.0194775,0.97560691,1.5513965,1.42954,1.426358,0.96504571,0.37384707,0.08746521,0.00318199,0.12185653,0.002115,0.000270567,0,0.000494054,0,0,3.69E-06,0,0.000017875,0,0,0.0002808,0.028075,0.068208,0.003336,0.002614385,0.00012033,0.0112229,0.0025659,0.005045,0,0.0000295,0.00004335,0,0.00001632,0.000015345,0.000022005,0.0005425,-0.32293575,-0.029193764,0.15585848,-0.34299951,-0.060558398,0.018168792,-0.064211348,-0.55917295,0,0.2947832,0.063864649,-0.1284227,0.07609393
1977,1.1988289,0.13408693,0.0600775,1.0046644,1.5963346,1.4631966,1.4598408,0.9895882,0.38046324,0.08978931,0.003355822,0.13313804,0.002205,0.000281516,0,0.000537015,0,0,4.37E-06,0,0.000021125,0,0,0.0003068,0.031175,0.074528,0.003801,0.002737455,0.00014625,0.01143935,0.0029574,0.005646,0,0.0000351,0.00005745,0,0.00002448,0.000018975,0.00002258,0.000549,-0.33146957,-0.030085096,0.15660027,-0.3500396,-0.062522357,0.022738875,-0.068161665,-0.56834634,0,0.30084269,0.065001595,-0.13632333,0.078624782
1978,1.2758337,0.10906922,0.12268812,1.0440764,1.6419881,1.4976627,1.4941224,1.0148272,0.38714369,0.092151471,0.003540267,0.14432549,0.00229,0.000293063,0,0.000587191,0,0,0.000005037,0,0.000024375,0,0,0.0003406,0.034175,0.080608,0.0043335,0.00286533,0.00017631,0.01164735,0.0034674,0.006302,0,0.0000404,0.00007425,0,0.00003584,0.000022935,0.00002317,0.000554,-0.33928538,-0.030330814,0.15998,-0.35680416,-0.064416431,0.021307084,-0.069021058,-0.57391095,0,0.30691026,0.066149785,-0.13804212,0.080266625
